Mnemonic,Description
EVDWELL,GAY/LES/BI
EVHARJB,"IN LIFE, R HAS EVER BEEN HARASSED ON JOB BC R WAS BELIEVED TO BE GAY/LES/BI"
EVIDU,R EVER INJECT DRUGS
EVJOB,HAVE YOU EVER HAD A PAID JOB FOR 1 YEAR OR+
EVKID,HAVE EVER GIVEN BIRTH TO/FATHERED A CHILD
EVLOSEJB,GAY/LES/BI
EVMHP,EVER HAD MENTAL HEALTH PROBLEM
EVNEGJOB,WAS  GAY/LES/BI
EVOLVED,SCI KNOWLEDGE: HUMAN BEINGS DEVELOPED FROM ANIMALS
EVOLVED1,HUMANS DEVELOPED FROM EARLIER SPECIES: TRUE OR FALSE
EVOLVED2,ELEPHANTS EVOLVED FROM EARLIER SPECIES: TRUE OR FALSE
EVPAIDSX,EVER HAVE SEX PAID FOR OR BEING PAID SINCE 18
EVSMOKE,HAS R EVER SMOKED
EVSTRAY,HAVE SEX OTHER THAN SPOUSE WHILE MARRIED
EVUNEMP,EVER BEEN UNEMPLOYED TWO WEEKS +
EVWORK,EVER WORK AS LONG AS ONE YEAR
EXCELART,ARTISTIC EXCELLENCE FOUND IN FOLK ART
EXCITED,FELT EXCITED OR INTERESTED IN SOMETHING?
EXCLDIMM,AMERICA SHOULD EXCLUDE ILLEGAL IMMIGRANTS
EXECRNK,RANK IN SOCIETY OF CHAIRMEN
EXJOBSAT,SATISFACTION WITH PAST JOB
EXPCHNG1,CAUSE OF RELIGIOUS CHANGE1
EXPCHNG2,CAUSE OF RELIGIOUS CHANGE2
EXPCHNG3,CAUSE OF RELIGIOUS CHANGE3
EXPDESGN,BETTER WAY TO TEST DRUG BTW CONTROL AND NON-CONTROL
EXPERNC,IMPORTANCE OF EXPERIENCE TO PAY
EXPLOIT,OTHER PEOPLE TAKE ADVANTAGE OF R IF NOT CAREFUL
EXPTEXT,WHY IS IT BETTER TO TEST DRUG THIS WAY
EXPTRAIN,IMPORTANCE OF DIFFERENT EMPLOYER TRAINING FOR JOB
EXPUNPOP,EXPRESSION OF UNPOPULAR IDEAS IMPORTANT FOR FREEDOM
EXTINCT,EFFECT OF GLOBAL WARMING: POLAR BEAR'S BECOME EXTINCT
EXTR2001,DID R RECEIVE PERF BASED PAYMENT IN 2001
EXTR2005,RECEIVED PERFORMANCE BASED PAYMENT IN 2005
EXTR2017,DID R RECEIVE ANY  PERFORMANCE-BASED INCENTIVES IN 2017
EXTRA1,OTHER PROBLEMS
EXTRA2,OTHER PROBLEMS
EXTRAERN,HOW MUCH EARNED FROM ADDITIONAL JOBS IN PAST YR
EXTRAPAY,ELIGIBLE FOR PERFORMANCE BASED PAY
EXTRAVAL,TOTAL DOLLAR VALUE OF PAY IN PREVIOUS YEAR
EXTRAWRK,DID YOU WORK MULTIPLE JOBS IN PAST YR
EXTRAYR,YEAR OF THE MOST RECENT PERF BASED PAYMENTS
EZINES,HOW FAMILIAR R IS WITH TERM E-ZINES
FACEBOOK,USE FACEBOOK
FAILURE,MENTAL TREATMENT FOR CHILD MAKE PARENT FEEL LIKE
FAIR,PEOPLE FAIR OR TRY TO TAKE ADVANTAGE
FAIR5,PEOPLE FAIR OR NOT
FAIRASNS,ASIANS COMMITTED TO FAIR AND EQUAL TREATMENT O
FAIRBLKS,BLACKS COMMITTED TO FAIR AND EQUAL TREATMENT OF
FAIREARN,HOW FAIR IS WHAT R EARN ON THE JOB
FAIRHSPS,HISPANICS COMMITTED TO FAIR AND EQUAL TREATMENT
FAIRHWRK,DIVISION OF WORK UNFAIR TO YOU OR SPOUSE
FAIRJEWS,JEWS COMMITTED TO FAIR AND EQUAL TREATMENT OF A
FAIRWHTS,WHITES COMMITTED TO FAIR AND EQUAL TREATMENT OF
FAITH1,HAS DEATH IN FAMILY STRENGTHENED FAITH
FAITH2,HAS BIRTH OF CHILD STRENGTHENED FAITH
FAITH3,HAS MARRIAGE STRENGTHENED FAITH
FAITH4,HAS SEXUAL PLEASURE STRENGTHENED FAITH
FAMASNS,ASIANS COMMITTED TO STRONG FAMILIES
FAMBIZ,WHAT KIND OF BUSINESS IS THIS?
FAMBLKS,BLACKS COMMITTED TO STRONG FAMILIES
FAMBUDGT,HOW COUPLES MONITOR BUDGET
FAMDIF16,REASON NOT LIVING WITH PARENTS
FAMFINAN,HOW YOU AND YOUR SPOUSE ORGANIZE YOUR FINANCES
FAMGEN,NUMBER OF FAMILY GENERATIONS IN HOUSEHOLD
FAMHSPS,HISPANICS COMMITTED TO STRONG FAMILIES
FAMILY16,LIVING WITH PARENTS WHEN 16 YRS OLD
FAMINTJB,HOW OFTEN R FELT: DEMAND OF FAMILY LIFE INTERFERE WITH JOB
FAMJEWS,JEWS COMMITTED TO STRONG FAMILIES
FAMLIFE,HOW SUCCESSFUL IN FAMILY LIFE
FAMMHNEG,R'S FAMILY'S NEGATIVE ATTITUDES ABOUT MH PROBLEMS
FAMORJOB,WOULD YOU SACRIFICE JOB OPPORTUNITIES FOR FAMILY
FAMPER1,HAVING SERIOUS TROUBLE WITH SPOUSE
FAMPER2,SEPARATING FROM SPOUSE OR PARTNER
FAMPER3,BREAKING UP WITH FIANCÉ(E)
FAMPER4,HAVING SERIOUS TROUBLE WITH A CHILD
FAMPER5,HAVING SERIOUS TROUBLE WITH FRIEND
FAMPER6,DIVORCED OR SEPARATED
FAMPRESS,THEIR LIFE?
FAMRESP,IMPORTANCE OF FAMILY RESPS. TO PAY
FAMRNK,RANK IN SOCIETY OF R
FAMSUFFR,FAMILY LIFE SUFFERS IF MOM WORKS F-T
FAMVSWK,HOW OFTEN FAM LIFE INTERFERE JOB
FAMVSWK1,HOW OFTEN DIFFICULT TO CONC AT WORK BECAUSE FAMILY RESP
FAMVSWRK,DIFFICULT TO CONCENTRATE WRK BC OF FAM RESPONSIBILITY
FAMWHTS,WHITES COMMITTED TO STRONG FAMILIES
FAMWKBST,BEST WAY TO ORG FAMILY WORK LIFE WITH UNDER SCHOOL AGE CHILD
FAMWKLST,WOR'ST WAY TO ORG FAMILY WORK LIFE WITH UNDER SCHOOL AGE CHILD
FAMWKOFF,HOW HARD TO TAKE TIME OFF
FAREASNS,SELF SUPPORTING - LIVE OFF WELFARE
FAREBLKS,SELF SUPPORTING - LIVE OFF WELFARE
FAREHSPS,SELF SUPPORTING - LIVE OFF WELFARE
FAREJEWS,SELF SUPPORTING - LIVE OFF WELFARE
FARESO,SELF SUPPORTING - LIVE OFF WELFARE
FAREWHTS,SELF SUPPORTING - LIVE OFF WELFARE
FARMING,HOW SCIENTIFIC IS FARMING
FATALISM,PEOPLE CAN'T CHANGE THE COURSE OF THEIR LIVES
FATHER,IMAGE OF GOD AS FATHER
FATIGUE,"IN THE PAST 7 DAYS, R'S AVERAGE FATIGUE"
FE12,PAST 12 MONTHS R WEB TO LEARN GENDER ISSUES
FEAR,AFRAID TO WALK AT NIGHT IN NEIGHBORHOOD
FEARFUL,FELT FEARFUL ABOUT SOMETHING
FEARHOME,DOES R FEEL SAFE AND SECURE AT HOME
FEBEAR,CAN WIFE REFUSE TO HAVE CHILDREN
FEBRASS,DO WOMEN COMMAND OVER MEN
FECARE,R'S CONCERN ABOUT WOMEN'S RIGHTS
FECHLD,MOTHER WORKING DOESN'T HURT CHILDREN
FECLERGY,R FAVORS WOMEN AS MINISTERS
FECOLOP,COLLEGE OPPORTUNITIES FOR WOMEN
FEDIRTY,ARE WOMEN ASSIGNED TO DIRTY JOBS
FEDTRUST,HOW MUCH DOES R TRUST FEDERAL GOVERNMENT
FEELASNS,HOW R FEELS TOWARDS ASIAN AMERICANS
FEELBLKS,HOW R FEELS TOWARDS AFRICAN AMERICANS
FEELEVEL,AMOUNT OF FEES PAID
FEELGOD,FEEL GODS PRESENCE
FEELHSPS,HOW R FEELS TOWARDS HISPANICS
FEELREL,HOW RELIGIOUS IS R
FEELWHTS,HOW R FEEL TOWARDS CAUCASIANS
FEEUSED,FEE GIVEN TO GET CASE
FEFAM,"BETTER FOR MAN TO WORK, WOMAN TEND HOME"
FEFIGHT,ARE WOMEN ASSIGNED TO COMBAT
FEFIRM,HOW FIRM IS R'S OPINION ON WOMEN'S RGHTS
FEGAINS,BEST WAY FOR WOMEN TO IMPROVE POSITION
FEGIVE,HAS R GIVEN MONEY TO WOMEN'S RIGHTS ORGS
FEHELP,WIFE SHOULD HELP HUSBANDS CAREER FIRST
FEHIRE,SHOULD HIRE AND PROMOTE WOMEN
FEHLPBUS,GOVT SHOULD AID WOMEN SEEKING JOBS
FEHLPCOL,GOVT SHOULD AID WOMEN SEEKING HIGHER ED
FEHLPJOB,WOMEN SHOULD BE GIVEN PREFERENCE IN JOBS
FEHLPMIL,DO WOMEN RAISE EFFECTIVENESS OF MILITARY
FEHOME,WOMEN TAKE CARE OF HOME NOT COUNTRY
FEIMP,IMPORTANCE OF WOMEN'S RIGHTS ISSUE TO R
FEINC,INCOME FOR WOMEN VS. MEN WITH SAME BKGD
FEINFLU,OPINION OF POLITICAL INFLUENCE OF WOMEN
FEINFO,HOW MUCH INFO R HAS ON WOMEN'S RGTS
FEJOBAFF,FOR OR AGAINST PREFERENTIAL HIRING OF WOMEN
FEJOBIND,JOB IS BEST WAY FOR WOMAN TO BE INDEP
FEJOBOP,JOB OPPORTUNITIES FOR WOMEN
FEJOIN,EVER JOINED ORG WORKING ON WOMEN'S RGTS
FEKIDS1,HOW IMPORTANT WOMEN BIOLOGICALLY BETTER-SUITED
FEKIDS2,HOW IMPORTANT WOMEN ARE TAUGHT FROM CHILDHOOD
FEKIDS3,HOW IMPORTANT THE WAY SOCIETY IS SET UP
FEKIDS4,HOW IMPORTANT MEN HAVE MORE FREEDOM
FEKIDS5,HOW IMPORTANT IT IS GOD'S WILL
FELESS1,HOW IMPORTANT MEN WORK HARDER EXPLAIN
FELESS2,HOW IMPORTANT WOMEN'S FAMILY RESPONSIBILITIES
FELESS3,HOW IMPORTANT GIVE MEN BETTER PAYING JOBS
FEMARRY,WAY OF LIFE RECOMMENDATION FOR WOMAN
FEMILOP,FEM OPPORTUNITIES BETTER IN MILITARY?
FEMINIST,THINK YOURSELF AS A FEMINIST?
FENEWS,HOW OFTEN PAY ATTENTION TO WOMEN ISSUES
FENUMOK,NUMBER OF WOMEN IN MILITARY
FEPOL,WOMEN NOT SUITED FOR POLITICS
FEPOLY,MEN OR WOMEN BETTER SUITED FOR POLITICS
FEPRES,VOTE FOR WOMAN PRESIDENT
FEPRESCH,PRESCHOOL KIDS SUFFER IF MOTHER WORKS
FEPRIEST,R FAVORS WOMEN AS PRIESTS
FERESPCT,HOW WELL LOCAL CHURCH RESPECTS WOMEN'S RIGHTS
FESERVE,MANDATORY CONSCRIPTION FOR FEMALES?
FETHINK,HOW OFT R & FRNDS THINK ABT WOMEN'S RGTS
FEWKNOKD,WOMEN SHOULD WORK OUTSIDE WHEN NO KIDS
FEWORK,SHOULD WOMEN WORK
FEWORKIF,MARRIED WOMEN WORK IF JOBS LIMITED
FEWRITE,R EVER WRITTEN OFFICIAL ABT WOMEN'S RGTS
FEWRKSUP,DO MOST WOMEN WORK TO SUPPORT FAMILY
FEWTRSTY,THERE ARE ONLY A FEW PEOPLE R CAN TRUST COMPLETELY
FIDGETY,IN PAST 30 DAYS FEEL RESTLESS OR FIDGETY
FIGHTAIR,WOMEN AS JET FIGHTER PILOTS
FIGHTLND,WOMEN IN HAND-TO-HAND COMBAT
FIGHTSEA,WOMEN AS CREW MEMBER OF COMBAT SHIP
FIN30,R USE FINANCIAL INFORMATION SITE IN PAST 30 DAY
FINALTER,CHANGE IN FINANCIAL SITUATION
FINAN1,GOING BANKRUPT
FINAN2,HAVING A CAR ETC. REPOSSESSED
FINAN3,PAWNING VALUABLES TO MAKE ENDS MEET
FINAN4,BEING PRESSURED TO PAY BILLS
FINAN5,MAJOR WORSENING FINANCIAL CONDITION
FINANQS,PEOPLE WITH SECRET SHOULD BE SUBJECT TO QUES. OF FINAN
FINDJOB,COULD R FIND A JOB <UNEMPLOYED R'S>
FINDNWJB,HOW LIKELY R TO FIND JOB WITH SAME/BETTER BENEFIT
FINDOUT,CAN FIND OUT WHERE YOU WILL BE WORKING
FINDWORK,COULD R FIND A JOB <EMPLOYED R'S>
FININC,R HEARD DOCS LIMIT USED OF EXP TESTS
FININC1,IMPORTANCE TO R TO BE TOLD ABOUT INCENTIVES
FININC2,BEST TIME TO BE TOLD ABOUT INCENTIVES
FININC3,BEST PERSON TO TELL ABOUT INCENTIVES
FININC4,R LIKELY TO ASK DOC ABOUT INCENTIVES
FININD,YOUNG SHOULD BE FINANCIALLY INDEPENDENT
FININD1,AGED SHOULD BE FINANCIALLY INDEPENDENT
FINLCOUN,HOW SCIENTIFIC IS FINANCIAL COUNSELING
FINRELA,OPINION OF FAMILY INCOME
FIREFTNG,HOW SCIENTIFIC IS FIREFIGHTING
FIRSTJOB,TYPE OF FIRST JOB HELD BY R
FIRSTSEI,R'S SOCIOECONOMIC INDEX OF 1ST OCCUPATION (1980)
FIRSTSLF,FIRST JOB SELF-EMPLOYMENT?
FIRSTYOU,SHOULD TAKE CARE OF ONESELF AND ONES FAMILY FIRST
FISH,FISH
FISHB4,FISH
FISHEXP1,WHAT IS SCIENTIST TRYING TO FIND OUT FROM THIS EXPERIMENT
FISHEXP2,WHY DID YOU CHOOSE THAT ANSWER
FIXER1,WHAT WAS THE MOST IMPORTANT REASON?
FIXERA,MY OWN PREVIOUS KNOWLEDGE OF THE FIRM
FIXERB,A FRIEND OR RELATIVE RECOMMENDED THEM
FIXERC,AN ACQUAINTANCE RECOMMENDED THEM.
FIXERD,GENERAL REPUTATION IN THE COMMUNITY
FIXERE,I SAW THEIR ADVERTISEMENT
FIXERF,I SEARCHED FOR THE BEST PRICE
FIXHOME,HOME MAINTENANCE SERVICES PAST 10 YEARS?
FIXMISTK,HOW LIKELY GOVT ADMNSTRTOR'S BE CORRECTED WHEN MAKING
FLEXHRS,IMPORTANCE OF FLEXIBLE HRS. IN A JOB
FLEXHRS1,IMPORTANCE OF FLEXIBLE HRS. AT WORK
FLEXTIME,ALLOW WORKERS MORE FLEXIBLE HOURS
FLICKR,USE FLICKR
FNDJOB1,HEARD JOB FROM ONE ALREADY WORKED THERE
FNDJOB2,HEARD JOB FROM RELATIVES
FNDJOB3,HEARD JOB FROM FRIENDS
FNDJOB4,HEARD JOB FROM ACQUAINTANCES
FNDJOB5,HEARD JOB FROM NEWSPAPER AD
FNDJOB6,HEARD JOB THROUGH EMPLOYMENT AGENCY
FNDJOB7,HEARD JOB FROM RECRUITER FOR THIS EMPLOYER
FNDJOB8,HEARD JOB JUST CAME HERE AND ASKED FOR WORK
FNDJOB9,HEARD JOB OTHER (SPECIFY)
FOLK,LIKE OR DISLIKE FOLK MUSIC
FOLLOW,IMPORTANCE OF FOLLOWING CHURCH TEACHINGS
FORAFF12,PAST 12 MONTHS R WEB TO LEARN FOREIGN AFFAIRS
FORBDCOM,FORBID COMMUNIST TO SPEAK
FORBDMAR,FORBIDS RACIAL INTERMARRIAGE
FORBDRAC,FORBID RACIST TO SPEAK
FORCEDOC,SHOULD CHILD BE FORCED BY LAW TO BE TREATED BY DOC
FORCEHOS,SHOULD CHILD BE FORCED BY LAW TO ADMIT TO A HOSP
FORCEMED,SHOULD CHILD BE FORCED BY LAW TO TAKE A PRESCRIPTION
FORCULT,EXPOSURE TO FOREIGN FILM DAMAGE TO OUR CULTURE
FORGIVE1,HAVE FORGIVEN SELF FOR MISTAKES
FORGIVE2,HAVE FORGIVEN THOSE WHO HURT ME
FORGIVE3,KNOW THAT GOD FORGIVES ME
FORLAND,FOREIGNERS SHOULD NOT BE ALLOWED TO BUY LAND
FORLANG,AMERICAN SCHOOLS SHOULD TEACH FOREIGN LANGUAGES
FORLANG1,LEARNING FOREIGN LANGUAGE IMPORTANT MATH AND S
FORM,FORM OF SPLIT QUESTIONNAIRE ASKED
FORMLDYS,THE NUMBER OF DAYS IN FORMAL TRAINING
FORMLFIN,HAVE YOU FINISHED ALL THE COURSES
FORMLHRS,THE NUMBER OF HRS IN FORMAL TRAINING
FORMLTRN,DID IT INCLUDE FORMAL TRAINING COURSE
FORMWT,WEIGHT DEAL WITH EXPERIMENTAL RANDOMIZATION
FORSPY,FOREIGN SPIES MORE THREAT 10 YRS AGO
FORSTEAL,FOREIGNERS STEALING U.S. TECH MORE THREAT 10 Y
FOUND,CASE WAS RETRIEVABLE IN 2012
FOURKIDS,DESIRABILITY OF 4+ KID FAMILY
FRDCREAT,DESIR QUALITIES OF FRIEND: CREATIVE
FRDCULTR,DESIR QUALITIES OF FRIEND: CULTURED
FRDDYNAM,DESIR QUALITIES OF FRIEND: DYNAMIC
FRDENJOY,SHOULD CLOSE FRIEND BE SOMEONE WHO IS ENJOYABLE
FRDFUN,DESIR QUALITIES OF FRIEND: FUN-LOVING
FRDHELPS,SHOULD CLOSE FRIEND BE SOMEONE WHO HELPS R
FRDHONST,DESIR QUALITIES OF FRIEND: HONEST
FRDINTEL,DESIR QUALITIES OF FRIEND: INTELLIGENT
FRDKNOWS,SHOULD CLOSE FRIEND BE SOMEONE WHO UNDERSTANDS R
FRDRESP,DESIR QUALITIES OF FRIEND: RESPONSIBLE
FRDTHINK,SHOULD CLOSE FRIEND BE SOMEONE INTELLIGENT
FREEEXP1,WHAT EXPERIENCES IN LIFE MAKE YOU FEEL MOST FREE
FREEEXP2,WHAT EXPERIENCES IN LIFE MAKE YOU FEEL MOST FREE
FREEEXP3,WHAT EXPERIENCES IN LIFE MAKE YOU FEEL MOST FREE
FREEMNS1,WHAT DOES FREEDOM MEAN TO YOU
FREEMNS2,WHAT DOES FREEDOM MEAN TO YOU
FREEMNS3,WHAT DOES FREEDOM MEAN TO YOU
FREENOW,AMERICANS HAVE MORE FREEDOM THAN IN PAST
FREEPRSS,PRESS SHOULD BE COMPLETELY FREE
FREETRDE,FREE TRADE LEADS TO BETTER PRODUCTS
FRICALL,CONTACT WITH CLOSEST FRIEND
FRIDAY,ATTENDED RELIGIOUS SERVICES LAST FRIDAY
FRIEND,IMAGE OF GOD AS FRIEND
FRIEND1,PERSON #1 IS R'S FRIEND
FRIEND2,PERSON #2 IS R'S FRIEND
FRIEND3,PERSON #3 IS R'S FRIEND
FRIEND4,PERSON #4 IS R'S FRIEND
FRIEND5,PERSON #5 IS R'S FRIEND
FRIENDS,HAVE ANY GOOD FRIENDS FEELING CLOSE
FRINEIGH,NUMBER OF CLOSE FRIENDS ARE NEIGHBORS
FRINGE1,MEDICAL OR HOSPITAL INSURANCE
FRINGE10,INFORMATION ABOUT CHILD CARE SERVICES IN COMPANY
FRINGE11,ASSISTANCE WITH THE COSTS OF DAY CARE FOR CHILDREN
FRINGE2,DENTAL CARE BENEFITS
FRINGE3,LIFE INSURANCE
FRINGE4,SICK LEAVE WITH FULL PAY
FRINGE5,MATERNITY LEAVE WITH FULL RE-EMPLOYMENT RIGHTS
FRINGE6,"FLEXIBLE HOURS, OR FLEXTIME SCHEDULING"
FRINGE7,CASH OR STOCK BONUSES FOR PERFORMANCE OR MERIT
FRINGE8,A PENSION OR RETIREMENT PROGRAM
FRINGE9,PROFIT SHARING OR STOCK OPTION PROGRAM
FRINGEOK,FRINGE BENEFITS ARE GOOD
FRINUM,NUMBER OF CLOSE FRIENDS
FRISEX,SEX OF CLOSEST FRIEND
FRITIME,TRAVEL TIME TO CLOSEST FRIEND
FRIVISIT,HOW OFTEN VISIT CLOSEST FRIEND
FRIWORK,NUMBER OF CLOSE FRIENDS ARE COWORKERS
FRNDAWK,DISCUSSING PRICE IS AWKWARD AMONG FRIENDS
FRNDCON1,DOES FRIEND 1 BELONG TO R'S CONGREGATION
FRNDCON2,DOES FRIEND 2 BELONG TO R'S CONGREGATION
FRNDCON3,DOES FRIEND 3 BELONG TO R'S CONGREGATION
FRNDCON4,DOES FRIEND 4 BELONG TO R'S CONGREGATION
FRNDCON5,DOES FRIEND 5 BELONG TO R'S CONGREGATION
FRNDDEAL,PEOPLE USUALLY GET A BETTER PRICE FROM FRIENDS
FRNDDEN1,WHAT IS FRIEND 1S SPECIFIC DENOMINATION
FRNDDEN2,WHAT IS FRIEND 2S SPECIFIC DENOMINATION
FRNDDEN3,WHAT IS FRIEND 3S SPECIFIC DENOMINATION
FRNDDEN4,WHAT IS FRIEND 4S SPECIFIC DENOMINATION
FRNDDEN5,WHAT IS FRIEND 5S SPECIFIC DENOMINATION
FRNDFND1,FUND.-LIB. OF 1ST FRIEND
FRNDFND2,FUND.-LIB. OF 2ND FRIEND
FRNDFND3,FUND.-LIB. OF 3RD FRIEND
FRNDFND4,FUND.-LIB. OF 4TH FRIEND
FRNDFND5,FUND.-LIB. OF 5TH FRIEND
FRNDKING,CONTRAST BETWEEN FRIEND AND KING
FRNDKNOW,HOW MANY OF R'S FRIENDS KNOW EACH OTHER?
FRNDOTH1,WHAT IS FRIEND 1S OTHER PROT DENOM
FRNDOTH2,WHAT IS FRIEND 2S OTHER PROT DENOM
FRNDOTH3,WHAT IS FRIEND 3S OTHER PROT DENOM
FRNDOTH4,WHAT IS FRIEND 4S OTHER PROT DENOM
FRNDOTH5,WHAT IS FRIEND 5S OTHER PROT DENOM
FRNDRAC1,WHAT IS FRIEND 1S RACE
FRNDRAC2,WHAT IS FRIEND 2S RACE
FRNDRAC3,WHAT IS FRIEND 3S RACE
FRNDRAC4,WHAT IS FRIEND 4S RACE
FRNDRAC5,WHAT IS FRIEND 5S RACE
FRNDREL1,WHAT IS FRIEND 1S RELIGIOUS PREFERENCE
FRNDREL2,WHAT IS FRIEND 2S RELIGIOUS PREFERENCE
FRNDREL3,WHAT IS FRIEND 3S RELIGIOUS PREFERENCE
FRNDREL4,WHAT IS FRIEND 4S RELIGIOUS PREFERENCE
FRNDREL5,WHAT IS FRIEND 5S RELIGIOUS PREFERENCE
FRNDSEX,R HAD SEX WITH FRIEND LAST YEAR
FRSTGRP1,WHICH GROUP MEET NAME1
FRSTGRP2,WHICH GROUP MEET NAME2
FRSTGRP3,WHICH GROUP MEET NAME3
FRSTGRP4,WHICH GROUP MEET NAME4
FRSTGRP5,WHICH GROUP MEET NAME5
FRSTMET1,R FIRST MET THE NAMED ALTER IN THE GROUP
FRSTMET2,R FIRST MET THE NAMED ALTER IN THE GROUP
FRSTMET3,R FIRST MET THE NAMED ALTER IN THE GROUP
FRSTMET4,R FIRST MET THE NAMED ALTER IN THE GROUP
FRSTMET5,R FIRST MET THE NAMED ALTER IN THE GROUP
FRTERROR,TERRORISM BY FOREIGNERS MORE THREAT 10 YRS AGO
FSTSPDEG,HIGHEST DEGREE OF FIRST SPOUSE
FSTSPEDC,EDUC OF FIRST SPOUSE
FSTSPMED,1ST SPOUSE'S MOTHERS HIGHEST YR OF SCHOOL
FSTSPPED,1ST SPOUSE'S FATHER'S HIGHEST YR OF SCHOOL
FSTSPYR,YEAR FIRST SPOUSE BORN
FTWORK,YOUNG SHOULD BE EMPLOYED FULL-TIME
FTWORK1,AGED SHOULD BE EMPLOYED FULL-TIME
FUCITZN,IS R PLANNING/APPLING FOR US CITIZENSHIP OR NOT
FUND,HOW FUNDAMENTALIST IS R CURRENTLY
FUND16,HOW FUNDAMENTALIST WAS R AT AGE 16
FUTENRGY,U.S. ENERGY PRIORITIES
FUTPROMO,HOW LIKELY YOU WILL BE PROMOTED NEXT FIVE YEARS
FUTRDOWN,DEGREE ECONOMY WILL GET WORSE OVER NEXT YEAR
FUTRUP,DEGREE ECONOMY WILL IMPROVE IN NEXT YEAR
GAME12,R USE WEB FOR GAMES IN PAST 12 MONTHS
GAMEGN,R PLAY AN INDOOR GAME PAST YEAR
GAMES30,R USE GAME SITE IN PAST 30 DAYS
GARDEN,GREW VEGETABLES OR FLOWER'S IN GARDEN IN LST YR
GASREGS,HOW MUCH R FAVOR REQUIRING TO MAKE CARS USING LESS GASOLINE
GAVEPOL,HAS R GIVEN MONEY TO CANDIDATE OR CAUSE
GDJOBSEC,JOB SECURITY IS GOOD
GENDER1,GENDER OF 1ST PERSON
GENDER10,GENDER OF 10TH PERSON
GENDER11,GENDER OF 11TH PERSON (VISITOR)
GENDER12,GENDER OF 12TH PERSON (VISITOR)
GENDER13,GENDER OF 13TH PERSON (VISITOR)
GENDER14,GENDER OF 14TH PERSON (VISITOR)
GENDER2,GENDER OF 2ND PERSON
GENDER3,GENDER OF 3RD PERSON
GENDER4,GENDER OF 4TH PERSON
GENDER5,GENDER OF 5TH PERSON
GENDER6,GENDER OF 6TH PERSON
GENDER7,GENDER OF 7TH PERSON
GENDER8,GENDER OF 8TH PERSON
GENDER9,GENDER OF 9TH PERSON
GENDEREQ,GOV RESP TO PROMOTE EQUALITY
GENDERWK,MOSTLY MEN OR WOMEN AT THE WORKPLACE
GENEABRT,ABORT DEFECTIVE FETUS
GENEABRT2,R WOULD WANT TO ABORT FETUS IF THERE WERE GENETIC DEFECTS
GENECANX,EMPLOYER TEST CANCER OR SAFEWORKPLACE
GENECANY,EMPLOYERS' RIGHT TO HIRE BY CANCERTESTS
GENEDEF1,MEANING OF SERIOUS GENETIC DEFECT
GENEDEF2,MEANING OF SERIOUS GENETIC DEFECT
GENEDEF3,MEANING OF SERIOUS GENETIC DEFECT
GENEEXPS,GENES OR EXPERIENCES IN DETERMINING PERSONALITY
GENEGEN,HOW DANGEROUS MODIFYING GENES IN CROPS
GENEGETS,EMPLOYER VS. EMPLOYEE ON ACCESS RIGHT TO RESULTS
GENEGOO1,GENETIC TESTING GOOD OR HARM
GENEGOO2,GENETIC TESTING GOOD OR HARM
GENEGOOD,GENETIC TESTING GOOD OR HARM
GENEHIRE,EMPLOYERS' RIGHT TO HIRE BY GENETIC TESTS
GENEJOB,SHOULD EMPLOYERS GIVE GENETIC TESTS
GENENVO1,GENE OR LEARNING?
GENENVO2,GENE OR LEARNING?
GENENVO3,GENE OR LEARNING?
GENENVO4,GENE OR LEARNING?
GENEPROB,SITUATION CAUSED BY A GENETIC OR INHERITED PROBLEM
GENES,TRAITS ARE TRANSFERRED OVER GENERATION
GENESELF,WOULD GENETICALLY TEST FETUS
GENESELF2,R WOULD WANT GENETIC TEST DONE ON FETUS
GENETEST,KNOW ABOUT GENETIC TESTING
GENETICS,HOW LIKELY X S SITUATION CAUSED BY GENETIC PROBLEM
GENETST1,KNOW ABOUT GENETIC TESTING
GENEVIG1,VIGNETTE NUMBER USED
GENEVIG2,VIGNETTE ORDER USED
GEOMOBIL,HAS R MOVED FROM ONE KIND OF PLACE TO ANOTHER
GESTTALK,HOW OFTEN R SEE PEOPLE MAKING STRANGE GESTURE IN PUBLIC
GETAHEAD,OPINION OF HOW PEOPLE GET AHEAD
GETAHEAY,OPINION OF WHY PEOPLE GET AHEAD
GETAID,EVER RECEIVED WELFARE?
GETJOB,HOW LIKELY YOU WOULD FIND A JOB
GETLANG,WHERE DID R LEARN OTHER LANGUAGE
GETMAR,YOUNG SHOULD GET MARRIED
GETMAR1,AGED SHOULD GET MARRIED
GILLS,HOW FISH GET OXYGEN
GIVART,"CONTRIBUTED MONEY IN ARTS, CULTURE, ETC"
GIVBLOOD,R DONATED BLOOD DURING THE PAST 12 MONTHS
GIVBUS,HOW MUCH OUGHT BUS DRIVER MAKE?
GIVCABNT,HOW MUCH OUGHT CABINET MEMBER MAKE?
GIVCHNG,HAVE GIVEN MONEY TO GROUP ADVOCATING SOCIAL CHANGE
GIVCHRTY,R HAS GIVEN MONEY TO A CHARITY
GIVCLERK,HOW MUCH OUGHT BANK CLERK MAKE?
GIVDOC,HOW MUCH OUGHT DOCTOR MAKE?
GIVEARTS,CONTRIBUTIONS TO ARTS CULTURE HUMANITIES
GIVECONG,GIVEN MONEY TO LOCAL CONGREGATION
GIVEDUC,CONTRIBUTED MONEY IN EDUCATION
